Breed,breedCode2,Group,HeadWeight,ForequartersWeight,HindquartersWeight,GaitWeight,CoatWeight,SizeWeight,TemperamentWeight,ShowShineWeight,FeetWeight,ToplineWeight,RulesVersion,IsActive,Source,Notes
Braque Saint-Germain,RI,Sporting,9.00,11.00,11.00,11.00,9.00,11.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Brazilian Terrier,RZ,Terrier,11.00,11.00,11.00,11.00,9.00,9.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Broholmer,RO,Working,12.00,11.00,11.00,9.00,9.00,12.00,11.00,5.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Calupoh,LO,Herding,11.00,11.00,11.00,11.00,9.00,11.00,11.00,5.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Canadian Eskimo Dog,CM,Working,11.00,10.00,10.00,10.00,12.00,12.00,10.00,5.00,10.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Catahoula Leopard Dog,LD,Herding,8.00,11.00,11.00,11.00,9.00,11.00,12.00,5.00,11.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Croatian Sheepdog,RN,Herding,8.00,11.00,11.00,11.00,12.00,9.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Deutscher Wachtelhund,DW,Sporting,7.00,11.00,11.00,11.00,11.00,11.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Drentsche Patrijshond,DE,Sporting,7.00,11.00,11.00,11.00,11.00,11.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Estrela Mountain Dog,EM,Working,9.00,11.00,11.00,9.00,12.00,12.00,11.00,5.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
French Spaniel,FE,Sporting,7.00,11.00,11.00,11.00,11.00,11.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
German Longhaired Pointer,GL,Sporting,13.00,10.00,10.00,10.00,12.00,10.00,10.00,6.00,9.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Hanoverian Scenthound,HA,Hound,8.00,11.00,11.00,12.00,9.00,11.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Hokkaido,HK,Working,13.00,10.00,10.00,10.00,10.00,10.00,12.00,5.00,10.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Jagdterrier,JG,Terrier,13.00,10.00,10.00,10.00,10.00,9.00,12.00,6.00,10.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Japanese Spitz,JS,Non-Sporting,12.00,9.00,9.00,9.00,12.00,9.00,11.00,9.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Japanese Terrier,JT,Terrier,10.00,10.00,10.00,10.00,10.00,10.00,11.00,8.00,10.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Kishu Ken,KI,Hound,13.00,10.00,10.00,10.00,10.00,10.00,12.00,5.00,10.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Lapponian Herder,LI,Herding,12.00,10.00,10.00,10.00,12.00,10.00,10.00,6.00,10.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Large Munsterlander,LM,Sporting,7.00,11.00,11.00,11.00,11.00,11.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Lucas Terrier,LC,Terrier,9.00,11.00,11.00,11.00,11.00,9.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Mountain Cur,MC,Hound,9.00,11.00,11.00,11.00,9.00,11.00,11.00,5.00,11.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Old Danish Pointer,OD,Sporting,9.00,11.00,11.00,11.00,9.00,11.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Pont-Audemer Spaniel,PI,Sporting,13.00,10.00,10.00,10.00,12.00,10.00,10.00,6.00,9.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Portuguese Pointer,OR,Sporting,9.00,11.00,11.00,11.00,9.00,11.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Portuguese Sheepdog,OT,Herding,13.00,10.00,10.00,10.00,12.00,10.00,10.00,6.00,9.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Pudelpointer,UD,Sporting,13.00,10.00,10.00,10.00,12.00,10.00,10.00,6.00,9.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Rafeiro do Alentejo,RF,Working,10.00,11.00,11.00,9.00,11.00,12.00,11.00,5.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Romanian Carpathian Shepherd,RM,Working,9.00,11.00,11.00,9.00,12.00,12.00,11.00,5.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Romanian Mioritic Shepherd Dog,RH,Working,9.00,11.00,11.00,9.00,12.00,12.00,11.00,5.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Schapendoes,HP,Herding,12.00,10.00,10.00,10.00,12.00,9.00,10.00,8.00,9.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Segugio Italiano,EI,Hound,8.00,11.00,11.00,12.00,9.00,11.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Shikoku Ken,HI,Hound,13.00,10.00,10.00,10.00,10.00,10.00,12.00,5.00,10.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Slovensky Cuvac,LV,Herding,9.00,11.00,11.00,9.00,12.00,12.00,11.00,5.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Slovensky Kopov,LE,Hound,10.00,11.00,11.00,12.00,9.00,9.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Slovakian Wirehaired Pointer,OV,Sporting,7.00,11.00,11.00,11.00,11.00,11.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Spanish Mastiff,PF,Working,12.00,10.00,10.00,9.00,10.00,13.00,12.00,5.00,9.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Stabyhoun,TY,Sporting,7.00,11.00,11.00,11.00,11.00,11.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Swedish Lapphund,WI,Herding,13.00,9.00,9.00,9.00,12.00,9.00,11.00,8.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Tornjak,TO,Working,9.00,11.00,11.00,9.00,12.00,12.00,11.00,5.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Transylvania Hound,TH,Hound,8.00,11.00,11.00,12.00,9.00,11.00,11.00,7.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,Source breed label 'Transylvanian Hound' mapped to canonical breeds.csv name 'Transylvania Hound'.
Treeing Tennessee Brindle,TN,Hound,8.00,11.00,11.00,12.00,9.00,11.00,11.00,5.00,11.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,Source breed label 'Treeing Tennessee Brindle Coonhound' mapped to canonical breeds.csv name 'Treeing Tennessee Brindle'.
Volpino Italiano,VI,Toy,12.00,9.00,9.00,9.00,12.00,9.00,11.00,9.00,9.00,11.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Wetterhoun,WR,Sporting,13.00,10.00,10.00,10.00,12.00,10.00,10.00,6.00,9.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
Working Kelpie,WK,Herding,9.00,12.00,12.00,13.00,8.00,9.00,13.00,4.00,10.00,10.00,breed-judging-v1,TRUE,New_Breeds_10_Criteria_Scores_MissingUpdated(2).xlsx,
